pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_massj,pl_massjerr1,pl_massjerr2,pl_masslim,pl_massn,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinilim,pl_msinin,pl_radj,pl_radjerr1,pl_radjerr2,pl_radlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_vj,st_vjerr,st_vjlim,st_vjblend,st_teff,st_tefferr,st_tefflim,st_teffblend,st_teffn,st_mass,st_masserr,st_masslim,st_massblend,st_massn,st_rad,st_raderr,st_radlim,st_radblend,st_radn,hd_name,hip_name
HD 202206,b,Radial Velocity,2,255.87000000,0.06000000,-0.06000000,0,1,0.830000,,,0,1,0.435000,0.001000,-0.001000,0,1,,,,,0,,,,,0,17.40000,,,0,1,,,,,0,,,,,0,0,0,21h14m57.77s,-20d47m21.2s,318.740692,0.000003,-20.789209,0.000001,2,46.34,2.33,-2.58,0,1,8.071,0.012,0,0,,,,,0,,,,,0,,,,,0,HD 202206,HIP 104903
HD 202206,c,Radial Velocity,2,1383.40000000,18.40000000,-18.40000000,0,1,2.550000,,,0,1,0.267000,0.021000,-0.021000,0,1,,,,,0,,,,,0,2.44000,,,0,1,,,,,0,,,,,0,0,0,21h14m57.77s,-20d47m21.2s,318.740692,0.000003,-20.789209,0.000001,2,46.34,2.33,-2.58,0,1,8.071,0.012,0,0,,,,,0,,,,,0,,,,,0,HD 202206,HIP 104903
HD 203030,b,Imaging,1,,,,,0,487.100000,1.800000,-1.800000,0,1,,,,,0,,,,,0,24.09000,8.37900,-11.52100,0,1,,,,,0,,,,,0,,,,,0,0,0,21h18m58.22s,+26d13m50.0s,319.742584,0.000002,26.230545,0.000002,2,40.85,1.68,-1.83,0,1,8.425,0.013,0,0,,,,,0,,,,,0,,,,,0,HD 203030,HIP 105232
HD 204313,b,Radial Velocity,3,1931.00000000,18.00000000,-18.00000000,0,1,3.082000,0.055000,-0.055000,0,1,0.131000,0.023000,-0.023000,0,1,,,,,0,,,,,0,4.05000,0.17000,-0.17000,0,1,,,,,0,,,,,0,0,0,21h28m12.21s,-21d43m34.5s,322.050873,0.000003,-21.726255,0.000001,2,47.00,0.30,-0.30,0,2,8.020,0.013,0,0,5760.00,100.00,0,0,1,1.02,,0,0,1,,,,,0,HD 204313,HIP 106006
HD 204313,c,Radial Velocity,3,34.87300000,,,,1,0.210300,,,,1,0.170000,,,,1,,,,,0,,,,,0,0.05400,,,0,1,,,,,0,,,,,0,0,0,21h28m12.21s,-21d43m34.5s,322.050873,0.000003,-21.726255,0.000001,2,47.00,0.30,-0.30,0,2,8.020,0.013,0,0,5760.00,100.00,0,0,1,1.02,,0,0,1,,,,,0,HD 204313,HIP 106006
HD 204313,d,Radial Velocity,3,2831.60000000,150.00000000,-150.00000000,0,1,3.930000,0.140000,-0.140000,0,1,0.280000,0.090000,-0.090000,0,1,,,,,0,,,,,0,1.68000,0.30000,-0.30000,0,1,,,,,0,,,,,0,0,0,21h28m12.21s,-21d43m34.5s,322.050873,0.000003,-21.726255,0.000001,2,47.00,0.30,-0.30,0,2,8.020,0.013,0,0,5760.00,100.00,0,0,1,1.02,,0,0,1,,,,,0,HD 204313,HIP 106006
HD 204941,b,Radial Velocity,1,1733.00000000,74.00000000,-74.00000000,0,1,2.560000,0.080000,-0.080000,0,1,0.370000,0.080000,-0.080000,0,1,,,,,0,,,,,0,0.26600,0.03200,-0.03200,0,1,,,,,0,,,,,0,0,0,21h32m23.51s,-20d57m26.7s,323.097961,0.000003,-20.957422,0.000002,2,26.95,0.88,-0.95,0,1,8.420,0.014,0,0,,,,,0,,,,,0,,,,,0,HD 204941,HIP 106353
HD 205739,b,Radial Velocity,1,279.80000000,0.10000000,-0.10000000,0,1,0.896000,0.019000,-0.015000,0,1,0.270000,0.070000,-0.070000,0,1,,,,,0,,,,,0,1.37000,0.07000,-0.09000,0,1,,,,,0,,,,,0,0,0,21h38m08.41s,-31d44m14.9s,324.535034,0.000003,-31.737484,0.000002,2,90.33,8.30,-10.17,0,1,8.544,0.015,0,0,,,,,0,,,,,0,,,,,0,HD 205739,HIP 106824
HD 206610,b,Radial Velocity,1,610.00000000,13.00000000,-13.00000000,0,1,1.680000,0.050000,-0.050000,0,1,0.229000,0.058000,-0.058000,0,1,,,,,0,,,,,0,2.20000,0.10000,-0.10000,0,1,,,,,0,,,,,0,0,0,21h43m24.90s,-07d24m29.7s,325.853760,0.000003,-7.408253,0.000001,2,170.07,27.01,-39.58,0,1,8.346,0.014,0,0,,,,,0,,,,,0,,,,,0,HD 206610,HIP 107251
HD 207832,b,Radial Velocity,2,161.97000000,0.97000000,-0.78000000,0,1,0.570000,0.002000,-0.002000,0,1,0.130000,0.180000,-0.050000,0,1,,,,,0,0.56000,0.06000,-0.03000,0,1,,,,,0,,,,,0,,,,,0,0,0,21h52m36.28s,-26d01m35.6s,328.151184,0.000003,-26.026560,0.000002,2,54.40,2.70,-2.70,0,2,8.786,0.014,0,0,5710.00,81.00,0,,1,0.94,0.10,0,,1,0.90,0.06,0,,1,HD 207832,HIP 107985
HD 207832,c,Radial Velocity,2,1155.70000000,71.90000000,-37.00000000,0,1,2.112000,0.087000,-0.045000,0,1,0.270000,0.220000,-0.100000,0,1,,,,,0,0.73000,0.18000,-0.05000,0,1,,,,,0,,,,,0,,,,,0,0,0,21h52m36.28s,-26d01m35.6s,328.151184,0.000003,-26.026560,0.000002,2,54.40,2.70,-2.70,0,2,8.786,0.014,0,0,5710.00,81.00,0,,1,0.94,0.10,0,,1,0.90,0.06,0,,1,HD 207832,HIP 107985
HD 208527,b,Radial Velocity,1,875.50000000,5.80000000,-5.80000000,0,1,2.100000,0.200000,-0.200000,0,1,0.080000,0.040000,-0.040000,0,1,,,,,0,,,,,0,9.90000,1.70000,-1.70000,0,1,,,,,0,,,,,0,0,0,21h56m23.99s,+21d14m23.5s,329.099945,0.000002,21.239859,0.000001,2,320.20,61.10,-61.10,0,3,,,,,4035.00,65.00,0,0,1,1.60,0.40,0,0,1,51.10,8.30,0,0,1,HD 208527,HIP 108296
HD 208487,b,Radial Velocity,1,123.00000000,1.00000000,-1.00000000,0,1,0.490000,0.040000,-0.040000,0,1,0.320000,0.100000,-0.100000,0,1,,,,,0,,,,,0,0.45000,0.05000,-0.05000,0,1,,,,,0,,,,,0,0,0,21h57m19.85s,-37d45m49.0s,329.332703,0.000002,-37.763622,0.000001,2,43.99,1.87,-2.05,0,1,7.471,0.012,0,0,,,,,0,,,,,0,,,,,0,HD 208487,HIP 108375
HD 209458,b,Radial Velocity,1,3.52474859,0.00000038,-0.00000038,0,1,0.047470,0.000550,-0.000550,0,1,0.000000,,,0,1,86.590,0.046,-0.046,0,1,0.71400,0.01700,-0.01700,0,1,,,,,0,1.380,0.017,-0.017,0,1,0.36200,0.00600,-0.00600,0,1,0,0,22h03m10.77s,+18d53m03.5s,330.794891,0.000002,18.884319,0.000002,2,47.40,1.60,-1.60,0,2,7.632,0.012,0,0,6065.00,50.00,0,,1,1.15,0.04,0,,1,1.16,0.01,0,,1,HD 209458,HIP 108859
