pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpern,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbsmaxn,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccenn,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_orbincln,pl_massj,pl_massjerr1,pl_massjerr2,pl_masslim,pl_massn,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinilim,pl_msinin,pl_radj,pl_radjerr1,pl_radjerr2,pl_radlim,pl_radn,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_densn,pl_ttvflag,pl_kepflag,ra_str,dec_str,ra,st_raerr,dec,st_decerr,st_posn,st_dist,st_disterr1,st_disterr2,st_distlim,st_distn,st_vj,st_vjerr,st_vjlim,st_vjblend,st_teff,st_tefferr,st_tefflim,st_teffblend,st_teffn,st_mass,st_masserr,st_masslim,st_massblend,st_massn,st_rad,st_raderr,st_radlim,st_radblend,st_radn,hd_name,hip_name
Kepler-20,d,Transit,5,77.61184000,0.00015000,-0.00037000,0,1,0.345300,0.004100,-0.004600,0,1,0.600000,,,1,1,89.570,0.043,-0.048,0,1,0.06300,,,1,1,,,,,0,0.245,0.015,-0.027,0,1,4.07000,,,1,1,0,1,19h10m47.52s,+42d20m19.4s,287.697998,0.000017,42.338726,0.000017,2,290.00,30.00,-30.00,0,1,,,,,5466.00,93.00,0,0,3,0.91,0.04,0,0,2,0.94,0.06,0,0,3,,
Kepler-20,e,Transit,5,6.09849300,0.00006500,-0.00006500,0,1,,,,,0,0.280000,,,1,1,87.500,0.330,-0.340,0,1,0.01000,,,1,1,,,,,0,0.077,0.007,-0.009,0,1,,,,,0,0,1,19h10m47.52s,+42d20m19.4s,287.697998,0.000017,42.338726,0.000017,2,290.00,30.00,-30.00,0,1,,,,,5466.00,93.00,0,0,3,0.91,0.04,0,0,2,0.94,0.06,0,0,3,,
Kepler-20,f,Transit,5,19.57706000,0.00052000,-0.00052000,0,1,,,,,0,0.320000,,,1,1,88.680,0.140,-0.170,0,1,0.04500,,,1,1,,,,,0,0.092,0.009,-0.012,0,1,,,,,0,0,1,19h10m47.52s,+42d20m19.4s,287.697998,0.000017,42.338726,0.000017,2,290.00,30.00,-30.00,0,1,,,,,5466.00,93.00,0,0,3,0.91,0.04,0,0,2,0.94,0.06,0,0,3,,
Kepler-21,b,Transit,1,2.78575500,0.00003100,-0.00003400,0,1,0.042507,0.000098,-0.000119,0,1,0.000000,,,0,1,82.580,0.280,-0.310,0,1,0.03300,,,1,1,,,,,0,0.146,0.003,-0.004,0,1,12.90000,,,1,1,0,1,19h09m26.84s,+38d42m50.5s,287.361816,0.000002,38.714016,0.000002,3,108.00,10.00,-10.00,0,3,8.250,0.012,0,0,6131.00,44.00,0,0,2,1.34,0.01,0,0,1,1.86,0.02,0,0,2,HD 179070,HIP 94112
Kepler-22,b,Transit,1,289.86230000,0.00160000,-0.00200000,0,1,0.849000,0.018000,-0.017000,0,1,0.000000,,,0,1,89.764,0.025,-0.042,0,1,0.11300,,,1,1,,,,,0,0.212,0.012,-0.012,0,1,14.70000,,,1,1,0,1,19h16m52.20s,+47d53m04.1s,289.217499,0.000019,47.884464,0.000019,2,190.00,,,0,1,,,,,5518.00,44.00,0,0,3,0.97,0.06,0,0,1,0.98,0.02,0,0,3,,
Kepler-23,b,Transit,2,7.10730000,,,0,1,0.075000,,,0,1,,,,,0,,,,,0,0.80000,,,1,1,,,,,0,0.170,,,0,1,,,,,0,1,1,19h36m52.54s,+49d28m45.2s,294.218933,0.000017,49.479225,0.000017,2,800.00,,,,1,,,,,5760.00,124.00,0,0,3,1.11,0.09,0,0,1,1.52,0.24,0,0,3,,
Kepler-23,c,Transit,2,10.74210000,,,0,1,0.099000,,,0,1,,,,,0,,,,,0,2.70000,,,1,1,,,,,0,0.285,,,0,1,,,,,0,1,1,19h36m52.54s,+49d28m45.2s,294.218933,0.000017,49.479225,0.000017,2,800.00,,,,1,,,,,5760.00,124.00,0,0,3,1.11,0.09,0,0,1,1.52,0.24,0,0,3,,
Kepler-24,b,Transit,2,8.14530000,,,0,1,0.080000,,,0,1,,,,,0,,,,,0,1.60000,,,1,1,,,,,0,0.214,,,0,1,,,,,0,1,1,19h21m39.18s,+38d20m37.5s,290.413269,0.000019,38.343754,0.000017,2,1200.00,,,0,1,,,,,5800.00,200.00,0,0,3,1.03,0.11,0,0,1,1.07,0.16,0,0,3,,
Kepler-24,c,Transit,2,12.33350000,,,0,1,0.106000,,,0,1,,,,,0,,,,,0,1.60000,,,1,1,,,,,0,0.250,,,0,1,,,,,0,1,1,19h21m39.18s,+38d20m37.5s,290.413269,0.000019,38.343754,0.000017,2,1200.00,,,0,1,,,,,5800.00,200.00,0,0,3,1.03,0.11,0,0,1,1.07,0.16,0,0,3,,
Kepler-25,b,Transit,2,6.23850000,,,0,1,0.068000,,,0,1,,,,,0,,,,,0,12.70000,,,1,1,,,,,0,0.232,,,0,1,,,,,0,1,1,19h06m33.22s,+39d29m16.4s,286.638397,0.000019,39.487892,0.000017,2,,,,,0,,,,,6190.00,80.00,0,0,2,1.22,0.06,0,0,1,1.36,0.13,0,0,2,,
HD 40307,g,Radial Velocity,6,197.80000000,5.70000000,-9.00000000,0,1,0.600000,0.034000,-0.033000,0,1,0.290000,0.310000,-0.290000,0,1,,,,,0,,,,,0,0.02230,0.00820,-0.00820,0,1,,,,,0,,,,,0,0,0,05h54m04.24s,-60d01m24.5s,88.517670,0.000001,-60.023472,0.000001,2,13.00,,,0,2,7.150,0.010,0,0,4956.00,50.00,0,0,1,0.77,0.05,0,0,1,,,,,0,HD 40307,HIP 27887
HD 40979,b,Radial Velocity,1,267.20000000,3.00000000,-3.00000000,0,1,0.811000,,,0,1,0.230000,0.050000,-0.050000,0,1,,,,,0,,,,,0,3.32000,,,0,1,,,,,0,,,,,0,0,0,06h04m29.94s,+44d15m37.6s,91.124763,0.000002,44.260445,0.000001,2,33.33,0.89,-0.94,0,1,6.735,0.010,0,0,,,,,0,,,,,0,,,,,0,HD 40979,HIP 28767
HD 41004A,b,Radial Velocity,1,963.00000000,38.00000000,-38.00000000,0,1,1.640000,,,0,1,0.390000,0.170000,-0.170000,0,1,,,,,0,,,,,0,2.54000,0.74000,-0.74000,0,1,,,,,0,,,,,0,0,0,05h59m49.65s,-48d14m22.9s,89.956871,0.000002,-48.239693,0.000002,2,43.03,1.81,-1.98,0,1,8.621,0.013,0,1,,,,,0,,,,,0,,,,,0,HD 41004A,HIP 28393A
HD 41004B,b,Radial Velocity,1,1.32830000,0.00001200,-0.00001200,0,1,0.017700,,,0,1,0.081000,0.012000,-0.012000,0,1,,,,,0,,,,,0,18.37000,0.22000,-0.22000,0,1,,,,,0,,,,,0,0,0,05h59m49.65s,-48d14m23.4s,89.956886,0.000003,-48.239841,0.000003,2,43.03,1.81,-1.98,0,1,,,,,,,,,0,,,,,0,,,,,0,HD 41004B,HIP 28393B
HD 41248,b,Radial Velocity,2,18.35700000,0.06600000,-0.04400000,0,1,0.137000,0.017000,-0.011000,0,1,0.150000,0.110000,-0.150000,0,1,,,,,0,,,,,0,0.03900,0.01300,-0.01700,0,1,,,,,0,,,,,0,0,0,06h00m32.78s,-56d09m42.6s,90.136589,0.000002,-56.161835,0.000002,2,52.38,1.95,-1.95,0,2,8.807,0.015,0,0,5713.00,50.00,0,0,1,0.92,0.05,0,0,1,0.78,0.04,0,0,1,HD 41248,HIP 28460
HD 41248,c,Radial Velocity,2,25.64800000,0.12000000,-0.13000000,0,1,0.172000,0.020000,-0.014000,0,1,0.000000,0.180000,0.000000,0,1,,,,,0,,,,,0,0.02700,0.02000,-0.01600,0,1,,,,,0,,,,,0,0,0,06h00m32.78s,-56d09m42.6s,90.136589,0.000002,-56.161835,0.000002,2,52.38,1.95,-1.95,0,2,8.807,0.015,0,0,5713.00,50.00,0,0,1,0.92,0.05,0,0,1,0.78,0.04,0,0,1,HD 41248,HIP 28460
HD 43197,b,Radial Velocity,1,327.80000000,,,0,1,,,,,0,,,,,0,,,,,0,,,,,0,0.60000,,,0,1,,,,,0,,,,,0,0,0,06h13m35.66s,-29d53m50.2s,93.398590,0.000004,-29.897270,0.000005,2,54.94,5.88,-7.48,0,1,8.953,0.016,0,0,,,,,0,,,,,0,,,,,0,HD 43197,HIP 29550
HD 43848,b,Radial Velocity,1,2371.00000000,840.00000000,-840.00000000,0,1,3.400000,,,0,1,0.690000,0.100000,-0.100000,0,1,,,,,0,,,,,0,25.00000,,,0,1,,,,,0,,,,,0,0,0,06h16m31.36s,-40d31m54.7s,94.130676,0.000002,-40.531860,0.000003,2,37.05,1.11,-1.18,0,2,8.595,0.014,0,0,,,,,0,,,,,0,,,,,0,HD 43848,HIP 29804
HD 43691,b,Radial Velocity,1,36.96000000,0.02000000,-0.02000000,0,1,0.240000,,,0,1,0.140000,0.020000,-0.020000,0,1,,,,,0,,,,,0,2.49000,,,0,1,,,,,0,,,,,0,0,0,06h19m34.68s,+41d05m32.3s,94.894485,0.000003,41.092304,0.000002,2,93.20,9.09,-11.30,0,1,8.024,0.012,0,0,,,,,0,,,,,0,,,,,0,HD 43691,HIP 30057
HD 44219,b,Radial Velocity,1,472.00000000,,,0,1,,,,,0,,,,,0,,,,,0,,,,,0,0.58000,,,0,1,,,,,0,,,,,0,0,0,06h20m14.32s,-10d43m30.0s,95.059677,0.000003,-10.725009,0.000002,2,50.43,2.47,-2.73,0,1,7.698,0.010,0,0,,,,,0,,,,,0,,,,,0,HD 44219,HIP 30114
HD 45184,b,Radial Velocity,1,5.88720000,,,,1,0.063800,,,,1,0.300000,,,,1,,,,,0,,,,,0,0.04000,,,0,1,,,,,0,,,,,0,0,0,06h24m43.88s,-28d46m48.4s,96.182831,0.000001,-28.780113,0.000001,2,22.04,0.30,-0.31,0,1,6.390,,0,0,,,,,0,,,,,0,,,,,0,HD 45184,HIP 30503
HD 45364,b,Radial Velocity,2,226.93000000,0.37000000,-0.37000000,0,1,0.681300,,,0,1,0.168400,0.019000,-0.019000,0,1,,,,,0,,,,,0,0.18720,,,0,1,,,,,0,,,,,0,0,0,06h25m38.48s,-31d28m51.4s,96.410316,0.000001,-31.480953,0.000002,2,32.58,0.84,-0.88,0,1,8.062,0.012,0,0,,,,,0,,,,,0,,,,,0,HD 45364,HIP 30579
HD 45364,c,Radial Velocity,2,342.85000000,0.28000000,-0.28000000,0,1,0.897200,,,0,1,0.097400,0.012000,-0.012000,0,1,,,,,0,,,,,0,0.65790,,,0,1,,,,,0,,,,,0,0,0,06h25m38.48s,-31d28m51.4s,96.410316,0.000001,-31.480953,0.000002,2,32.58,0.84,-0.88,0,1,8.062,0.012,0,0,,,,,0,,,,,0,,,,,0,HD 45364,HIP 30579
HD 45350,b,Radial Velocity,1,890.76000000,37.42000000,-37.42000000,0,1,1.920000,0.067000,-0.067000,0,1,0.778000,0.009000,-0.009000,0,1,,,,,0,,,,,0,1.79000,0.14000,-0.14000,0,1,,,,,0,,,,,0,0,0,06h28m45.71s,+38d57m46.7s,97.190460,0.000003,38.962963,0.000002,2,48.95,2.24,-2.47,0,1,7.885,0.012,0,0,,,,,0,,,,,0,,,,,0,HD 45350,HIP 30860
HD 45652,b,Radial Velocity,1,43.60000000,0.20000000,-0.20000000,0,1,0.230000,,,0,1,0.380000,0.060000,-0.060000,0,1,,,,,0,,,,,0,0.47000,,,0,1,,,,,0,,,,,0,0,0,06h29m13.19s,+10d56m02.0s,97.304962,0.000003,10.933891,0.000002,2,36.14,1.61,-1.77,0,1,8.127,0.017,0,0,,,,,0,,,,,0,,,,,0,HD 45652,HIP 30905
HD 46375,b,Radial Velocity,1,3.02400000,,,0,1,0.041000,,,0,1,0.040000,,,0,1,,,,,0,,,,,0,0.24900,,,0,1,,,,,0,,,,,0,0,0,06h33m12.62s,+05d27m46.5s,98.302597,0.000002,5.462925,0.000002,2,33.41,1.15,-1.24,0,1,7.912,0.015,0,0,,,,,0,,,,,0,,,,,0,HD 46375,HIP 31246
HD 47186,b,Radial Velocity,2,4.08450000,0.00020000,-0.00020000,0,1,0.050000,,,0,1,0.038000,0.020000,-0.020000,0,1,,,,,0,,,,,0,0.07167,,,0,1,,,,,0,,,,,0,0,0,06h36m08.79s,-27d37m20.3s,99.036613,0.000001,-27.622297,0.000002,2,37.84,1.21,-1.29,0,1,7.626,0.010,0,0,,,,,0,,,,,0,,,,,0,HD 47186,HIP 31540
HD 47186,c,Radial Velocity,2,1353.60000000,57.10000000,-57.10000000,0,1,2.395000,,,0,1,0.249000,0.073000,-0.073000,0,1,,,,,0,,,,,0,0.35061,,,0,1,,,,,0,,,,,0,0,0,06h36m08.79s,-27d37m20.3s,99.036613,0.000001,-27.622297,0.000002,2,37.84,1.21,-1.29,0,1,7.626,0.010,0,0,,,,,0,,,,,0,,,,,0,HD 47186,HIP 31540
HD 47536,b,Radial Velocity,2,430.00000000,,,0,1,,,,,0,0.200000,0.080000,-0.080000,0,1,,,,,0,,,,,0,5.00000,,,0,1,,,,,0,,,,,0,0,0,06h37m47.62s,-32d20m23.0s,99.448410,0.000001,-32.339733,0.000001,2,121.36,7.72,-8.85,0,2,5.280,,0,0,,,,,0,,,,,0,,,,,0,HD 47536,HIP 31688
HD 47536,c,Radial Velocity,2,2500.00000000,,,0,1,,,,,0,,,,,0,,,,,0,,,,,0,7.00000,,,0,1,,,,,0,,,,,0,0,0,06h37m47.62s,-32d20m23.0s,99.448410,0.000001,-32.339733,0.000001,2,121.36,7.72,-8.85,0,2,5.280,,0,0,,,,,0,,,,,0,,,,,0,HD 47536,HIP 31688
HD 48265,b,Radial Velocity,1,700.00000000,8.00000000,-8.00000000,0,1,1.510000,,,0,1,0.180000,0.130000,-0.130000,0,1,,,,,0,,,,,0,1.16000,0.38000,-0.38000,0,1,,,,,0,,,,,0,0,0,06h40m01.73s,-48d32m31.0s,100.007195,0.000002,-48.541954,0.000002,2,87.41,5.18,-5.87,0,1,8.032,0.012,0,0,,,,,0,,,,,0,,,,,0,HD 48265,HIP 31895
HD 49674,b,Radial Velocity,1,4.94370000,0.00230000,-0.00230000,0,1,0.058000,0.003300,-0.003300,0,1,0.230000,0.150000,-0.150000,0,1,,,,,0,,,,,0,0.11500,0.01600,-0.01600,0,1,,,,,0,,,,,0,0,0,06h51m30.52s,+40d52m03.9s,102.877151,0.000003,40.867756,0.000002,2,40.73,1.81,-1.98,0,1,8.097,0.013,0,0,,,,,0,,,,,0,,,,,0,HD 49674,HIP 32916
HD 50499,b,Radial Velocity,1,2582.70000000,110.00000000,-110.00000000,0,1,3.860000,0.060000,-0.060000,0,1,0.230000,0.140000,-0.140000,0,1,,,,,0,,,,,0,1.71000,0.02000,-0.02000,0,1,,,,,0,,,,,0,0,0,06h52m02.03s,-33d54m56.0s,103.008438,0.000001,-33.915562,0.000002,2,47.26,1.47,-1.57,0,1,7.195,0.010,0,0,,,,,0,,,,,0,,,,,0,HD 50499,HIP 32970
Kepler-25,c,Transit,2,12.72040000,,,0,1,0.110000,,,0,1,,,,,0,,,,,0,4.16000,,,1,1,,,,,0,0.401,,,0,1,,,,,0,1,1,19h06m33.22s,+39d29m16.4s,286.638397,0.000019,39.487892,0.000017,2,,,,,0,,,,,6190.00,80.00,0,0,2,1.22,0.06,0,0,1,1.36,0.13,0,0,2,,
Kepler-26,b,Transit,2,12.28290000,,,0,1,0.085000,,,0,1,,,,,0,,,,,0,0.38000,,,1,1,,,,,0,0.321,,,0,1,,,,,0,1,1,18h59m45.84s,+46d33m59.5s,284.941010,0.000017,46.566540,0.000017,2,,,,,0,,,,,4500.00,100.00,0,0,3,0.65,0.03,0,0,2,0.59,0.03,0,0,3,,
Kepler-26,c,Transit,2,17.25130000,,,0,1,0.107000,,,0,1,,,,,0,,,,,0,0.37500,,,1,1,,,,,0,0.321,,,0,1,,,,,0,1,1,18h59m45.84s,+46d33m59.5s,284.941010,0.000017,46.566540,0.000017,2,,,,,0,,,,,4500.00,100.00,0,0,3,0.65,0.03,0,0,2,0.59,0.03,0,0,3,,
Kepler-27,b,Transit,2,15.33480000,,,0,1,0.118000,,,0,1,,,,,0,,,,,0,9.11000,,,1,1,,,,,0,0.357,,,0,1,,,,,0,1,1,19h28m56.82s,+41d05m09.2s,292.236755,0.000017,41.085876,0.000017,2,,,,,0,,,,,5400.00,60.00,0,0,3,0.65,0.16,0,0,1,0.59,0.15,0,0,3,,
Kepler-27,c,Transit,2,31.33090000,,,0,1,0.191000,,,0,1,,,,,0,,,,,0,13.80000,,,1,1,,,,,0,0.437,,,0,1,,,,,0,1,1,19h28m56.82s,+41d05m09.2s,292.236755,0.000017,41.085876,0.000017,2,,,,,0,,,,,5400.00,60.00,0,0,3,0.65,0.16,0,0,1,0.59,0.15,0,0,3,,
Kepler-28,b,Transit,2,5.91230000,,,0,1,0.062000,,,0,1,,,,,0,,,,,0,1.51000,,,1,1,,,,,0,0.321,,,0,1,,,,,0,1,1,19h28m32.89s,+42d25m45.9s,292.137024,0.000017,42.429420,0.000017,2,,,,,0,,,,,4590.00,,0,0,3,0.75,,0,0,1,0.70,,0,0,3,,
Kepler-28,c,Transit,2,8.98580000,,,0,1,0.081000,,,0,1,,,,,0,,,,,0,1.36000,,,1,1,,,,,0,0.303,,,0,1,,,,,0,1,1,19h28m32.89s,+42d25m45.9s,292.137024,0.000017,42.429420,0.000017,2,,,,,0,,,,,4590.00,,0,0,3,0.75,,0,0,1,0.70,,0,0,3,,
Kepler-29,b,Transit,2,10.33760000,0.00020000,-0.00020000,0,1,0.090000,,,0,1,,,,,0,,,,,0,0.40000,,,1,1,,,,,0,0.321,0.045,-0.045,0,1,,,,,0,1,1,19h53m23.60s,+47d29m28.4s,298.348328,0.000019,47.491226,0.000017,2,1400.00,,,0,1,,,,,5750.00,250.00,0,0,3,1.00,0.12,0,0,1,0.96,0.14,0,0,3,,
Kepler-29,c,Transit,2,13.29070000,0.00040000,-0.00040000,0,1,0.110000,,,0,1,,,,,0,,,,,0,0.30000,,,1,1,,,,,0,0.259,0.036,-0.036,0,1,,,,,0,1,1,19h53m23.60s,+47d29m28.4s,298.348328,0.000019,47.491226,0.000017,2,1400.00,,,0,1,,,,,5750.00,250.00,0,0,3,1.00,0.12,0,0,1,0.96,0.14,0,0,3,,
Kepler-30,b,Transit,3,29.33434000,0.00815000,-0.00815000,0,1,0.180000,,,0,1,0.042000,0.003000,-0.003000,0,1,90.179,0.167,-0.167,0,1,0.03600,0.00400,-0.00400,0,1,,,,,0,0.348,0.018,-0.018,0,1,1.02000,0.13000,-0.13000,0,1,1,1,19h01m08.07s,+38d56m50.2s,285.283630,0.000017,38.947281,0.000017,2,1400.00,,,0,1,,,,,5498.00,54.00,0,0,3,0.99,0.08,0,0,1,0.95,0.12,0,0,3,,
Kepler-30,c,Transit,3,60.32310500,0.00024400,-0.00024400,0,1,0.300000,,,0,1,0.011100,0.001000,-0.001000,0,1,90.323,0.030,-0.030,0,1,2.01000,0.16000,-0.16000,0,1,,,,,0,1.097,0.036,-0.036,0,1,1.88000,0.17000,-0.17000,0,1,1,1,19h01m08.07s,+38d56m50.2s,285.283630,0.000017,38.947281,0.000017,2,1400.00,,,0,1,,,,,5498.00,54.00,0,0,3,0.99,0.08,0,0,1,0.95,0.12,0,0,3,,
Kepler-30,d,Transit,3,143.34394000,0.00858000,-0.00858000,0,1,0.500000,,,0,1,0.022000,0.005000,-0.005000,0,1,89.841,0.020,-0.020,0,1,0.07300,0.00800,-0.00800,0,1,,,,,0,0.785,0.045,-0.045,0,1,0.19000,0.02000,-0.02000,0,1,1,1,19h01m08.07s,+38d56m50.2s,285.283630,0.000017,38.947281,0.000017,2,1400.00,,,0,1,,,,,5498.00,54.00,0,0,3,0.99,0.08,0,0,1,0.95,0.12,0,0,3,,
Kepler-31,b,Transit,2,20.86130000,0.00020000,-0.00020000,0,1,0.160000,,,0,1,,,,,0,,,,,0,,,,,0,,,,,0,0.491,0.098,-0.098,0,1,,,,,0,1,1,19h36m05.52s,+45d51m11.1s,294.023010,0.000022,45.853081,0.000017,2,2100.00,,,0,1,,,,,6340.00,200.00,0,0,3,1.21,0.17,0,0,2,1.22,0.24,0,0,3,,
Kepler-31,c,Transit,2,42.63180000,0.00050000,-0.00050000,0,1,0.260000,,,0,1,,,,,0,,,,,0,4.70000,,,1,1,,,,,0,0.473,0.098,-0.098,0,1,,,,,0,1,1,19h36m05.52s,+45d51m11.1s,294.023010,0.000022,45.853081,0.000017,2,2100.00,,,0,1,,,,,6340.00,200.00,0,0,3,1.21,0.17,0,0,2,1.22,0.24,0,0,3,,
Kepler-32,b,Transit,5,5.90124000,0.00010000,-0.00010000,0,1,0.050000,,,0,1,,,,,0,,,,,0,4.10000,,,1,1,,,,,0,0.196,0.018,-0.018,0,1,,,,,0,1,1,19h51m22.18s,+46d34m27.4s,297.842407,0.000017,46.574280,0.000017,2,303.00,14.00,-14.00,0,1,,,,,3793.00,80.00,0,0,3,0.54,0.02,0,0,1,0.53,0.02,0,0,3,,
Kepler-32,c,Transit,5,8.75220000,0.00030000,-0.00030000,0,1,0.090000,,,0,1,,,,,0,,,,,0,0.50000,,,1,1,,,,,0,0.178,0.018,-0.018,0,1,,,,,0,1,1,19h51m22.18s,+46d34m27.4s,297.842407,0.000017,46.574280,0.000017,2,303.00,14.00,-14.00,0,1,,,,,3793.00,80.00,0,0,3,0.54,0.02,0,0,1,0.53,0.02,0,0,3,,
Kepler-32,d,Transit,5,22.78020000,0.00050000,-0.00050000,0,1,0.128000,0.002000,-0.002000,0,1,,,,,0,,,,,0,,,,,0,,,,,0,0.241,0.009,-0.009,0,1,,,,,0,0,1,19h51m22.18s,+46d34m27.4s,297.842407,0.000017,46.574280,0.000017,2,303.00,14.00,-14.00,0,1,,,,,3793.00,80.00,0,0,3,0.54,0.02,0,0,1,0.53,0.02,0,0,3,,
Kepler-32,e,Transit,5,2.89600000,0.00030000,-0.00030000,0,1,0.032300,0.000500,-0.000500,0,1,,,,,0,,,,,0,,,,,0,,,,,0,0.134,0.009,-0.009,0,1,,,,,0,0,1,19h51m22.18s,+46d34m27.4s,297.842407,0.000017,46.574280,0.000017,2,303.00,14.00,-14.00,0,1,,,,,3793.00,80.00,0,0,3,0.54,0.02,0,0,1,0.53,0.02,0,0,3,,
Kepler-32,f,Transit,5,0.74296000,0.00007000,-0.00007000,0,1,0.013000,0.000200,-0.000200,0,1,,,,,0,,,,,0,,,,,0,,,,,0,0.072,0.004,-0.004,0,1,,,,,0,0,1,19h51m22.18s,+46d34m27.4s,297.842407,0.000017,46.574280,0.000017,2,303.00,14.00,-14.00,0,1,,,,,3793.00,80.00,0,0,3,0.54,0.02,0,0,1,0.53,0.02,0,0,3,,
Kepler-33,b,Transit,5,5.66793000,0.00012000,-0.00012000,0,1,0.067700,0.001400,-0.001400,0,1,0.000000,,,0,1,86.390,0.960,-1.620,0,1,,,,,0,,,,,0,0.155,0.016,-0.016,0,1,,,,,0,1,1,19h16m18.61s,+46d00m18.8s,289.077545,0.000017,46.005222,0.000017,2,,,,,0,,,,,5904.00,47.00,0,0,3,1.29,0.06,0,0,2,1.82,0.14,0,0,3,,
Kepler-33,c,Transit,5,13.17562000,0.00014000,-0.00014000,0,1,0.118900,0.002500,-0.002500,0,1,0.000000,,,0,1,88.190,0.580,-1.060,0,1,,,,,0,,,,,0,0.285,0.027,-0.027,0,1,,,,,0,1,1,19h16m18.61s,+46d00m18.8s,289.077545,0.000017,46.005222,0.000017,2,,,,,0,,,,,5904.00,47.00,0,0,3,1.29,0.06,0,0,2,1.82,0.14,0,0,3,,
Kepler-33,d,Transit,5,21.77596000,0.00011000,-0.00011000,0,1,0.166200,0.003500,-0.003500,0,1,0.000000,,,0,1,88.710,0.610,-0.480,0,1,,,,,0,,,,,0,0.477,0.044,-0.044,0,1,,,,,0,1,1,19h16m18.61s,+46d00m18.8s,289.077545,0.000017,46.005222,0.000017,2,,,,,0,,,,,5904.00,47.00,0,0,3,1.29,0.06,0,0,2,1.82,0.14,0,0,3,,
Kepler-33,e,Transit,5,31.78440000,0.00039000,-0.00039000,0,1,0.213800,0.004500,-0.004500,0,1,0.000000,,,0,1,88.940,0.450,-0.350,0,1,,,,,0,,,,,0,0.359,0.034,-0.034,0,1,,,,,0,1,1,19h16m18.61s,+46d00m18.8s,289.077545,0.000017,46.005222,0.000017,2,,,,,0,,,,,5904.00,47.00,0,0,3,1.29,0.06,0,0,2,1.82,0.14,0,0,3,,
HD 50554,b,Radial Velocity,1,1279.00000000,41.00000000,-41.00000000,0,1,2.380000,,,0,1,0.420000,0.030000,-0.030000,0,1,,,,,0,,,,,0,4.90000,,,0,1,,,,,0,,,,,0,0,0,06h54m42.82s,+24d14m44.0s,103.678436,0.000003,24.245558,0.000002,2,31.03,0.94,-1.00,0,1,6.844,0.010,0,0,,,,,0,,,,,0,,,,,0,HD 50554,HIP 33212
HD 51608,b,Radial Velocity,2,14.07000000,,,,1,0.105900,,,,1,0.150000,,,,1,,,,,0,,,,,0,0.04130,,,0,1,,,,,0,,,,,0,0,0,06h54m51.34s,-55d15m33.6s,103.713921,0.000002,-55.259327,0.000002,2,34.07,0.73,-0.76,0,2,8.155,,0,0,,,,,0,,,,,0,,,,,0,HD 51608,HIP 33229
HD 51608,c,Radial Velocity,2,95.41500000,,,,1,0.379100,,,,1,0.410000,,,,1,,,,,0,,,,,0,0.05650,,,0,1,,,,,0,,,,,0,0,0,06h54m51.34s,-55d15m33.6s,103.713921,0.000002,-55.259327,0.000002,2,34.07,0.73,-0.76,0,2,8.155,,0,0,,,,,0,,,,,0,,,,,0,HD 51608,HIP 33229
HD 52265,b,Radial Velocity,1,118.96000000,0.10000000,-0.10000000,0,1,0.490000,0.008000,-0.008000,0,1,0.290000,0.040000,-0.040000,0,1,,,,,0,,,,,0,1.13000,0.06000,-0.06000,0,1,,,,,0,,,,,0,0,0,07h00m18.04s,-05d22m01.8s,105.075150,0.000002,-5.367162,0.000001,2,28.07,0.65,-0.68,0,1,6.300,,0,0,,,,,0,,,,,0,,,,,0,HD 52265,HIP 33719
HD 59686,b,Radial Velocity,1,303.00000000,,,0,1,0.911000,,,0,1,0.000000,,,0,1,,,,,0,,,,,0,5.25000,,,0,1,,,,,0,,,,,0,0,0,07h31m48.40s,+17d05m09.8s,112.951653,0.000002,17.086046,0.000001,2,92.51,6.00,-6.90,0,2,5.442,0.009,0,0,,,,,0,,,,,0,,,,,0,HD 59686,HIP 36616
HD 60532,b,Radial Velocity,2,201.83000000,0.14000000,-0.14000000,0,1,0.770000,,,0,1,0.278000,0.006000,-0.006000,0,1,20.000,,,0,1,,,,,0,3.15480,,,0,1,,,,,0,,,,,0,0,0,07h34m03.18s,-22d17m45.8s,113.513252,0.000001,-22.296066,0.000002,2,25.70,0.43,-0.44,0,2,4.450,,0,0,,,,,0,,,,,0,,,,,0,HD 60532,HIP 36795
HD 60532,c,Radial Velocity,2,607.06000000,2.07000000,-2.07000000,0,1,1.580000,,,0,1,0.038000,0.008000,-0.008000,0,1,20.000,,,0,1,,,,,0,7.46340,,,0,1,,,,,0,,,,,0,0,0,07h34m03.18s,-22d17m45.8s,113.513252,0.000001,-22.296066,0.000002,2,25.70,0.43,-0.44,0,2,4.450,,0,0,,,,,0,,,,,0,,,,,0,HD 60532,HIP 36795
