rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbperlim,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxlim,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenlim,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbincllim,pl_orbinclerr1,pl_orbinclerr2,pl_massj,pl_masslim,pl_massjerr1,pl_massjerr2,pl_radj,pl_radlim,pl_radjerr1,pl_radjerr2,pl_dens,pl_denslim,pl_denserr1,pl_denserr2,pl_ttvflag,pl_kepflag,ra,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_vj,st_vjerr,st_vjlim,st_vjblend,st_teff,st_tefferr,st_tefflim,st_teffblend,st_mass,st_masserr,st_masslim,st_massblend,st_rad,st_raderr,st_radlim,st_radblend,hd_name,hip_name,st_sp,st_spstr,st_sperr,st_splim,st_spblend,st_lum,st_lumerr,st_lumlim,st_lumblend,pl_eqt,pl_eqtlim,pl_eqterr1,pl_eqterr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_disc,pl_status
554,HD 197037,b,Radial Velocity,1,1035.70000000,0,13.00000000,-13.00000000,2.070000,0,0.050000,-0.050000,0.220000,0,0.070000,-0.070000,,,,,,,,,,,,,,,,,0,0,309.887329,42.248550,32.83,0.63,-0.66,0,6.813,0.010,0,0,,,,,,,,,,,,,HD 197037,HIP 101948,4.00,G0,,0,0,,,,,,,,,,,,,,,2011,3
555,HD 196885,b,Radial Velocity,1,1333.00000000,0,15.00000000,-15.00000000,2.370000,0,0.020000,-0.020000,0.480000,0,0.060000,-0.060000,,,,,,,,,,,,,,,,,0,0,309.966156,11.249649,32.99,0.86,-0.91,0,6.386,0.010,0,0,,,,,,,,,,,,,HD 196885,HIP 101966,3.80,F8,,0,0,,,,,,,,,,,,,,,2007,3
556,HD 196067,b,Radial Velocity,1,3638.00000000,0,232.00000000,-185.00000000,5.020000,0,0.190000,-0.190000,0.660000,0,0.180000,-0.090000,,,,,,,,,,,,,,,,,0,0,310.433716,-75.350800,44.00,5.00,-5.00,0,6.030,,0,0,6017.00,46.00,0,0,1.29,0.08,0,0,1.73,0.21,0,0,HD 196067,HIP 102125,4.10,G1 V,,0,0,0.572,,0,0,,,,,,,,,,,2012,3
557,HD 200964,b,Radial Velocity,2,613.80000000,0,1.30000000,-1.40000000,1.601000,0,0.002000,-0.002000,0.040000,0,0.040000,-0.020000,,,,,,,,,,,,,,,,,0,0,316.666016,3.803119,68.35,4.50,-5.18,0,6.487,0.010,0,0,,,,,,,,,,,,,HD 200964,HIP 104202,4.80,G8 IV,,0,0,,,,,,,,,,,,,,,2010,3
558,HD 200964,c,Radial Velocity,2,825.00000000,0,5.10000000,-3.10000000,1.950000,0,0.008000,-0.005000,0.181000,0,0.024000,-0.017000,,,,,,,,,,,,,,,,,0,0,316.666016,3.803119,68.35,4.50,-5.18,0,6.487,0.010,0,0,,,,,,,,,,,,,HD 200964,HIP 104202,4.80,G8 IV,,0,0,,,,,,,,,,,,,,,2010,3
559,HD 202206,b,Radial Velocity,2,255.87000000,0,0.06000000,-0.06000000,0.830000,0,,,0.435000,0,0.001000,-0.001000,,,,,,,,,,,,,,,,,0,0,318.740692,-20.789209,46.34,2.33,-2.58,0,8.071,0.012,0,0,,,,,,,,,,,,,HD 202206,HIP 104903,4.60,G6 V,,0,0,,,,,,,,,,,,,,,2002,3
560,HD 202206,c,Radial Velocity,2,1383.40000000,0,18.40000000,-18.40000000,2.550000,0,,,0.267000,0,0.021000,-0.021000,,,,,,,,,,,,,,,,,0,0,318.740692,-20.789209,46.34,2.33,-2.58,0,8.071,0.012,0,0,,,,,,,,,,,,,HD 202206,HIP 104903,4.60,G6 V,,0,0,,,,,,,,,,,,,,,2004,3
561,HD 203030,b,Imaging,1,,,,,487.100000,0,1.800000,-1.800000,,,,,,,,,24.09000,0,8.37900,-11.52100,,,,,,,,,0,0,319.742584,26.230545,40.85,1.68,-1.83,0,8.425,0.013,0,0,,,,,,,,,,,,,HD 203030,HIP 105232,4.80,G8 V,,0,0,,,,,1206,0,74,-116,7656.09700,2662.99100,-3661.61200,,,,2006,3
562,HD 204313,b,Radial Velocity,3,1931.00000000,0,18.00000000,-18.00000000,3.082000,0,0.055000,-0.055000,0.131000,0,0.023000,-0.023000,,,,,,,,,,,,,,,,,0,0,322.050873,-21.726255,47.00,0.30,-0.30,0,8.020,0.013,0,0,5760.00,100.00,0,0,1.02,,0,0,,,,,HD 204313,HIP 106006,4.50,G5 V,,0,0,,,,,,,,,,,,,,,2009,3
563,HD 204313,c,Radial Velocity,3,34.87300000,,,,0.210300,,,,0.170000,,,,,,,,,,,,,,,,,,,,0,0,322.050873,-21.726255,47.00,0.30,-0.30,0,8.020,0.013,0,0,5760.00,100.00,0,0,1.02,,0,0,,,,,HD 204313,HIP 106006,4.50,G5 V,,0,0,,,,,,,,,,,,,,,2011,3
564,HD 204313,d,Radial Velocity,3,2831.60000000,0,150.00000000,-150.00000000,3.930000,0,0.140000,-0.140000,0.280000,0,0.090000,-0.090000,,,,,,,,,,,,,,,,,0,0,322.050873,-21.726255,47.00,0.30,-0.30,0,8.020,0.013,0,0,5760.00,100.00,0,0,1.02,,0,0,,,,,HD 204313,HIP 106006,4.50,G5 V,,0,0,,,,,,,,,,,,,,,2012,3
565,HD 204941,b,Radial Velocity,1,1733.00000000,0,74.00000000,-74.00000000,2.560000,0,0.080000,-0.080000,0.370000,0,0.080000,-0.080000,,,,,,,,,,,,,,,,,0,0,323.097961,-20.957422,26.95,0.88,-0.95,0,8.420,0.014,0,0,,,,,,,,,,,,,HD 204941,HIP 106353,5.15,K1/2 V,,0,0,,,,,,,,,,,,,,,2011,3
566,HD 205739,b,Radial Velocity,1,279.80000000,0,0.10000000,-0.10000000,0.896000,0,0.019000,-0.015000,0.270000,0,0.070000,-0.070000,,,,,,,,,,,,,,,,,0,0,324.535034,-31.737484,90.33,8.30,-10.17,0,8.544,0.015,0,0,,,,,,,,,,,,,HD 205739,HIP 106824,3.70,F7 V,,0,0,,,,,,,,,,,,,,,2008,3
567,HD 206610,b,Radial Velocity,1,610.00000000,0,13.00000000,-13.00000000,1.680000,0,0.050000,-0.050000,0.229000,0,0.058000,-0.058000,,,,,,,,,,,,,,,,,0,0,325.853760,-7.408253,170.07,27.01,-39.58,0,8.346,0.014,0,0,,,,,,,,,,,,,HD 206610,HIP 107251,5.00,K0 III,,0,0,,,,,,,,,,,,,,,2009,3
568,HD 207832,b,Radial Velocity,2,161.97000000,0,0.97000000,-0.78000000,0.570000,0,0.002000,-0.002000,0.130000,0,0.180000,-0.050000,,,,,0.56000,0,0.06000,-0.03000,,,,,,,,,0,0,328.151184,-26.026560,54.40,2.70,-2.70,0,8.786,0.014,0,0,5710.00,81.00,0,,0.94,0.10,0,,0.90,0.06,0,,HD 207832,HIP 107985,4.50,G5 V,,0,0,-0.112,0.051,0,,,,,,177.97700,19.06900,-9.53500,,,,2012,3
569,HD 207832,c,Radial Velocity,2,1155.70000000,0,71.90000000,-37.00000000,2.112000,0,0.087000,-0.045000,0.270000,0,0.220000,-0.100000,,,,,0.73000,0,0.18000,-0.05000,,,,,,,,,0,0,328.151184,-26.026560,54.40,2.70,-2.70,0,8.786,0.014,0,0,5710.00,81.00,0,,0.94,0.10,0,,0.90,0.06,0,,HD 207832,HIP 107985,4.50,G5 V,,0,0,-0.112,0.051,0,,,,,,232.00600,57.20700,-15.89100,,,,2012,3
570,HD 208527,b,Radial Velocity,1,875.50000000,0,5.80000000,-5.80000000,2.100000,0,0.200000,-0.200000,0.080000,0,0.040000,-0.040000,,,,,,,,,,,,,,,,,0,0,329.099945,21.239859,320.20,61.10,-61.10,0,,,,,4035.00,65.00,0,0,1.60,0.40,0,0,51.10,8.30,0,0,HD 208527,HIP 108296,6.10,M1 III,,0,0,,,,,,,,,,,,,,,2012,3
571,HD 208487,b,Radial Velocity,1,123.00000000,0,1.00000000,-1.00000000,0.490000,0,0.040000,-0.040000,0.320000,0,0.100000,-0.100000,,,,,,,,,,,,,,,,,0,0,329.332703,-37.763622,43.99,1.87,-2.05,0,7.471,0.012,0,0,,,,,,,,,,,,,HD 208487,HIP 108375,4.20,G1/3 (V),,0,0,,,,,,,,,,,,,,,2004,3
572,HD 209458,b,Radial Velocity,1,3.52474859,0,0.00000038,-0.00000038,0.047470,0,0.000550,-0.000550,0.000000,0,,,86.590,0,0.046,-0.046,0.71400,0,0.01700,-0.01700,1.380,0,0.017,-0.017,0.36200,0,0.00600,-0.00600,0,0,330.794891,18.884319,47.40,1.60,-1.60,0,7.632,0.012,0,0,6065.00,50.00,0,,1.15,0.04,0,,1.16,0.01,0,,HD 209458,HIP 108859,3.80,F8,,0,0,0.210,0.028,0,,,,,,226.92100,5.40300,-5.40300,15.468,0.191,-0.191,1999,3
573,HD 210277,b,Radial Velocity,1,442.10000000,0,0.40000000,-0.40000000,1.100000,0,0.020000,-0.020000,0.472000,0,0.011000,-0.011000,,,,,,,,,,,,,,,,,0,0,332.374451,-7.548654,21.29,0.35,-0.36,0,6.530,,0,0,,,,,,,,,,,,,HD 210277,HIP 109378,4.90,G8/K0 V,,0,0,,,,,,,,,,,,,,,1998,3
574,HD 210702,b,Radial Velocity,1,354.80000000,0,1.10000000,-1.10000000,1.200000,0,,,0.094000,0,0.052000,-0.052000,,,,,1.90000,0,,,,,,,,,,,0,0,332.963867,16.040550,55.90,2.20,-2.40,0,5.950,,0,0,4967.00,25.00,0,,1.68,0.18,0,,5.10,0.40,0,,HD 210702,HIP 109577,5.00,K0,,0,0,1.149,,0,,,,,,603.85200,,,,,,2007,3
575,HD 212771,b,Radial Velocity,1,373.30000000,0,3.40000000,-3.40000000,1.220000,0,0.030000,-0.030000,0.111000,0,0.060000,-0.060000,,,,,,,,,,,,,,,,,0,0,336.762787,-17.263659,121.80,13.93,-18.06,0,7.596,0.014,0,0,,,,,,,,,,,,,HD 212771,HIP 110813,4.80,G8 IV,,0,0,,,,,,,,,,,,,,,2009,3
576,HD 212301,b,Radial Velocity,1,2.24571500,0,0.00002800,-0.00002800,0.036000,0,,,0.000000,0,,,,,,,,,,,,,,,,,,,0,0,336.878845,-77.717926,52.72,1.95,-2.11,0,7.764,0.011,0,0,,,,,,,,,,,,,HD 212301,HIP 110852,3.80,F8 V,,0,0,,,,,,,,,,,,,,,2005,3
577,HD 213240,b,Radial Velocity,1,951.00000000,0,42.00000000,-42.00000000,2.030000,0,,,0.450000,0,0.040000,-0.040000,,,,,,,,,,,,,,,,,0,0,337.751526,-49.433270,40.75,1.30,-1.39,0,6.814,0.010,0,0,,,,,,,,,,,,,HD 213240,HIP 111143,4.05,G0/1 V,,0,0,,,,,,,,,,,,,,,2001,3
578,HD 215152,b,Radial Velocity,2,7.28250000,,,,0.065200,,,,0.340000,,,,,,,,,,,,,,,,,,,,0,0,340.838745,-6.400821,21.52,0.59,-0.62,0,8.130,0.015,0,0,,,,,,,,,,,,,HD 215152,HIP 112190,5.30,K3 V,,0,0,,,,,,,,,,,,,,,2011,3
579,HD 215152,c,Radial Velocity,2,10.86600000,,,,0.085200,,,,0.380000,,,,,,,,,,,,,,,,,,,,0,0,340.838745,-6.400821,21.52,0.59,-0.62,0,8.130,0.015,0,0,,,,,,,,,,,,,HD 215152,HIP 112190,5.30,K3 V,,0,0,,,,,,,,,,,,,,,2011,3
580,HD 215456,b,Radial Velocity,2,191.99000000,,,,0.652000,,,,0.150000,,,,,,,,,,,,,,,,,,,,0,0,341.533478,-48.978821,38.64,1.14,-1.22,0,6.629,0.010,0,0,,,,,,,,,,,,,HD 215456,HIP 112414,4.00,G0 V,,0,0,,,,,,,,,,,,,,,2011,3
581,HD 215456,c,Radial Velocity,2,2277.00000000,,,,3.394000,,,,0.190000,,,,,,,,,,,,,,,,,,,,0,0,341.533478,-48.978821,38.64,1.14,-1.22,0,6.629,0.010,0,0,,,,,,,,,,,,,HD 215456,HIP 112414,4.00,G0 V,,0,0,,,,,,,,,,,,,,,2011,3
582,HD 215497,b,Radial Velocity,2,3.93000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,341.653137,-56.599533,43.53,2.25,-2.51,0,8.950,0.016,0,0,,,,,,,,,,,,,HD 215497,HIP 112441,5.30,K3 V,,0,0,,,,,,,,,,,,,,,2009,3
583,HD 215497,c,Radial Velocity,2,567.00000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,341.653137,-56.599533,43.53,2.25,-2.51,0,8.950,0.016,0,0,,,,,,,,,,,,,HD 215497,HIP 112441,5.30,K3 V,,0,0,,,,,,,,,,,,,,,2009,3
