rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbperlim,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxlim,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenlim,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbincllim,pl_orbinclerr1,pl_orbinclerr2,pl_massj,pl_masslim,pl_massjerr1,pl_massjerr2,pl_radj,pl_radlim,pl_radjerr1,pl_radjerr2,pl_dens,pl_denslim,pl_denserr1,pl_denserr2,pl_ttvflag,pl_kepflag,ra,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_vj,st_vjerr,st_vjlim,st_vjblend,st_teff,st_tefferr,st_tefflim,st_teffblend,st_mass,st_masserr,st_masslim,st_massblend,st_rad,st_raderr,st_radlim,st_radblend,hd_name,hip_name,st_sp,st_spstr,st_sperr,st_splim,st_spblend,st_lum,st_lumerr,st_lumlim,st_lumblend,pl_eqt,pl_eqtlim,pl_eqterr1,pl_eqterr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_disc,pl_status
1,4 UMa,b,Radial Velocity,1,269.30000000,0,1.96000000,-1.96000000,0.870000,0,0.040000,-0.040000,0.432000,0,0.024000,-0.024000,,,,,,,,,,,,,,,,,0,0,130.053406,64.327934,62.39,3.43,-3.43,0,4.610,,0,0,4415.00,70.00,0,,1.23,0.15,0,,18.11,1.47,0,,HD 73108,HIP 42527,5.00,K0,,0,0,,,,,,,,,,,,,,,2006,3
2,6 Lyn,b,Radial Velocity,1,874.77400000,0,16.27000000,-8.47000000,2.180000,0,0.050000,-0.060000,0.059000,0,,,,,,,,,,,,,,,,,,,0,0,97.696281,58.162632,56.90,2.50,-2.50,0,5.880,,0,0,4978.00,18.00,0,,1.82,0.13,0,,5.20,0.40,0,,HD 45410,HIP 31039,4.50,G5,,0,0,1.176,,0,,,,,,,,,,,,2008,3
3,7 CMa,b,Radial Velocity,1,763.00000000,0,17.00000000,-17.00000000,1.900000,0,0.100000,-0.100000,0.140000,0,0.060000,-0.060000,,,,,,,,,,,,,,,,,0,0,99.170990,-19.255878,19.75,0.09,-0.09,0,3.920,,0,0,4792.00,100.00,0,,1.52,0.30,0,,2.30,0.10,0,,HD 47205,HIP 31592,5.10,K1 III (+ M),,0,0,1.053,0.012,0,,,,,,,,,,,,2011,3
4,11 Com,b,Radial Velocity,1,326.03000000,0,0.32000000,-0.32000000,1.290000,0,0.050000,-0.050000,0.231000,0,0.005000,-0.005000,,,,,,,,,,,,,,,,,0,0,185.179276,17.792868,112.00,,,0,4.740,,0,0,4742.00,100.00,0,,2.70,0.30,0,,19.50,2.00,0,,HD 107383,HIP 60202,5.00,K0,,0,0,2.243,0.085,0,,,,,,,,,,,,2007,3
5,11 UMi,b,Radial Velocity,1,516.22000000,0,3.25000000,-3.25000000,1.540000,0,0.070000,-0.070000,0.080000,0,0.030000,-0.030000,,,,,,,,,,,,,,,,,0,0,229.274536,71.823898,119.50,6.60,-6.60,0,5.016,0.009,0,0,4340.00,70.00,0,,1.80,0.25,0,,24.08,1.84,0,,HD 136726,HIP 74793,5.00,K0,,0,0,,,,,,,,,,,,,,,2009,3
6,14 And,b,Radial Velocity,1,185.84000000,0,0.23000000,-0.23000000,0.830000,0,,,0.000000,0,,,,,,,,,,,,,,,,,,,0,0,352.822571,39.236198,76.40,4.10,-4.10,0,5.220,,0,0,4813.00,20.00,0,,2.20,0.20,0,,11.00,2.00,0,,HD 221345,HIP 116076,5.00,K0,,0,0,1.763,,0,,,,,,,,,,,,2008,3
7,14 Her,b,Radial Velocity,1,1773.40000000,0,2.50000000,-2.50000000,2.770000,0,0.050000,-0.050000,0.369000,0,0.005000,-0.005000,,,,,,,,,,,,,,,,,0,0,242.601303,43.817646,18.15,0.19,-0.20,0,6.605,0.010,0,0,5311.00,87.00,0,,0.90,,0,,,,,,HD 145675,HIP 79248,5.00,K0 IV-V,,0,0,,,,,,,,,,,,,,,2002,3
8,16 Cyg B,b,Radial Velocity,1,798.50000000,0,1.00000000,-1.00000000,1.681000,0,0.097000,-0.097000,0.681000,0,0.017000,-0.017000,,,,,1.68000,0,0.15000,-0.15000,,,,,,,,,0,0,295.466553,50.517525,21.41,0.24,-0.24,0,6.200,,0,0,5674.00,44.00,0,,0.99,,0,,1.16,0.04,0,,HD 186427,HIP 96901,4.30,G3 V,,0,0,,,,,,,,,533.93000,47.67000,-47.67000,,,,1996,3
9,18 Del,b,Radial Velocity,1,993.30000000,0,3.20000000,-3.20000000,2.600000,0,,,0.080000,0,0.010000,-0.010000,,,,,,,,,,,,,,,,,0,0,314.608063,10.839286,73.10,3.70,-3.70,0,5.506,0.009,0,0,4979.00,18.00,0,,2.30,,0,,8.50,,0,,HD 199665,HIP 103527,5.00,K0,,0,0,1.602,,0,,,,,,,,,,,,2008,3
10,24 Sex,b,Radial Velocity,2,452.80000000,0,2.10000000,-4.50000000,1.333000,0,0.004000,-0.009000,0.090000,0,0.140000,-0.060000,,,,,,,,,,,,,,,,,0,0,155.868210,-0.902244,74.80,4.90,-4.90,0,6.441,0.010,0,0,5098.00,44.00,0,,1.54,0.08,0,,4.90,0.08,0,,HD 90043,HIP 50887,5.00,K0 IV,,0,0,1.164,0.003,0,,,,,,,,,,,,2010,3
11,24 Sex,c,Radial Velocity,2,883.00000000,0,32.40000000,-13.80000000,2.080000,0,0.050000,-0.020000,0.290000,0,0.160000,-0.090000,,,,,,,,,,,,,,,,,0,0,155.868210,-0.902244,74.80,4.90,-4.90,0,6.441,0.010,0,0,5098.00,44.00,0,,1.54,0.08,0,,4.90,0.08,0,,HD 90043,HIP 50887,5.00,K0 IV,,0,0,1.164,0.003,0,,,,,,,,,,,,2010,3
12,30 Ari B,b,Radial Velocity,1,335.10000000,0,2.50000000,-2.50000000,0.995000,0,0.012000,-0.012000,0.289000,0,0.092000,-0.092000,,,,,,,,,,,,,,,,,0,0,39.240585,24.648064,39.40,1.70,-1.70,0,6.962,0.011,0,0,6152.00,,0,,1.16,0.04,0,,1.13,0.03,0,,HD 16232,HIP 12184,3.50,F5,,0,0,,,,,,,,,,,,,,,2009,3
13,42 Dra,b,Radial Velocity,1,479.10000000,0,6.20000000,-6.20000000,1.190000,0,0.010000,-0.010000,0.380000,0,0.060000,-0.060000,,,,,,,,,,,,,,,,,0,0,276.496399,65.563484,96.50,1.90,-1.90,0,4.820,,0,0,4200.00,70.00,0,,0.98,0.05,0,,22.03,1.00,0,,HD 170693,HIP 90344,5.00,K0,,0,0,,,,,,,,,,,,,,,2008,3
14,47 UMa,b,Radial Velocity,3,1078.00000000,0,2.00000000,-2.00000000,2.100000,0,0.020000,-0.020000,0.032000,0,0.014000,-0.014000,,,,,,,,,,,,,,,,,0,0,164.866562,40.430256,14.08,0.13,-0.13,0,5.050,,0,0,5882.00,,0,,1.08,,0,,1.23,,0,,HD 95128,HIP 53721,4.00,G0,,0,0,,,,,,,,,,,,,,,1996,3
15,47 UMa,c,Radial Velocity,3,2391.00000000,0,100.00000000,-87.00000000,3.600000,0,0.100000,-0.100000,0.098000,0,0.047000,-0.096000,,,,,,,,,,,,,,,,,0,0,164.866562,40.430256,14.08,0.13,-0.13,0,5.050,,0,0,5882.00,,0,,1.08,,0,,1.23,,0,,HD 95128,HIP 53721,4.00,G0,,0,0,,,,,,,,,,,,,,,2001,3
16,47 UMa,d,Radial Velocity,3,14002.00000000,0,4018.00000000,-5095.00000000,11.600000,0,2.100000,-2.900000,0.160000,0,0.090000,-0.160000,,,,,,,,,,,,,,,,,0,0,164.866562,40.430256,14.08,0.13,-0.13,0,5.050,,0,0,5882.00,,0,,1.08,,0,,1.23,,0,,HD 95128,HIP 53721,4.00,G0,,0,0,,,,,,,,,,,,,,,2009,3
17,51 Peg,b,Radial Velocity,1,4.23078500,0,0.00003600,-0.00003600,0.052700,0,0.003000,-0.003000,0.013000,0,0.012000,-0.012000,,,,,,,,,,,,,,,,,0,0,344.366577,20.768833,15.40,0.20,-0.20,0,5.500,,0,0,5787.00,,0,,1.09,,0,,1.20,0.07,0,,HD 217014,HIP 113357,4.30,G3 V,,0,0,0.093,,0,,,,,,,,,,,,1995,3
18,55 Cnc,b,Radial Velocity,5,14.65100000,0,0.00010000,-0.00010000,0.113400,0,0.000600,-0.000600,0.004000,0,0.003000,-0.003000,,,,,,,,,,,,,,,,,0,0,133.149216,28.330818,12.30,0.10,-0.10,0,5.938,0.009,0,0,5196.00,24.00,0,,0.91,0.01,0,,0.94,0.01,0,,HD 75732,HIP 43587,5.00,K0 IV-V,,0,0,-0.235,0.011,0,,,,,,,,,,,,1996,3
19,55 Cnc,c,Radial Velocity,5,44.38000000,0,0.00700000,-0.00700000,0.237000,0,0.001300,-0.001300,0.070000,0,0.020000,-0.020000,,,,,,,,,,,,,,,,,0,0,133.149216,28.330818,12.30,0.10,-0.10,0,5.938,0.009,0,0,5196.00,24.00,0,,0.91,0.01,0,,0.94,0.01,0,,HD 75732,HIP 43587,5.00,K0 IV-V,,0,0,-0.235,0.011,0,,,,,,,,,,,,2004,3
20,55 Cnc,d,Radial Velocity,5,4909.00000000,0,30.00000000,-30.00000000,5.470000,0,0.060000,-0.060000,0.020000,0,0.008000,-0.008000,,,,,,,,,,,,,,,,,0,0,133.149216,28.330818,12.30,0.10,-0.10,0,5.938,0.009,0,0,5196.00,24.00,0,,0.91,0.01,0,,0.94,0.01,0,,HD 75732,HIP 43587,5.00,K0 IV-V,,0,0,-0.235,0.011,0,,,,,,,,,,,,2002,3
21,55 Cnc,e,Radial Velocity,5,0.73654600,0,0.00000300,-0.00000300,0.015830,0,0.000200,-0.000200,0.000000,0,,,82.500,0,1.400,-1.300,0.02600,0,0.00100,-0.00100,0.194,0,0.009,-0.009,4.50000,0,0.20000,-0.20000,0,0,133.149216,28.330818,12.30,0.10,-0.10,0,5.938,0.009,0,0,5196.00,24.00,0,,0.91,0.01,0,,0.94,0.01,0,,HD 75732,HIP 43587,5.00,K0 IV-V,,0,0,-0.235,0.011,0,,,,,,8.37000,0.38000,-0.38000,2.173,0.097,-0.098,2011,3
22,55 Cnc,f,Radial Velocity,5,261.20000000,0,0.40000000,-0.40000000,0.770000,0,0.005000,-0.005000,0.320000,0,0.050000,-0.050000,,,,,,,,,,,,,,,,,0,0,133.149216,28.330818,12.30,0.10,-0.10,0,5.938,0.009,0,0,5196.00,24.00,0,,0.91,0.01,0,,0.94,0.01,0,,HD 75732,HIP 43587,5.00,K0 IV-V,,0,0,-0.235,0.011,0,,,,,,,,,,,,2007,3
23,61 Vir,b,Radial Velocity,3,4.21500000,0,0.00060000,-0.00060000,0.050201,0,0.000005,-0.000005,0.120000,0,0.110000,-0.110000,,,,,,,,,,,,,,,,,0,0,199.601318,-18.311195,8.52,0.05,-0.05,0,4.740,,0,0,5577.00,33.00,0,,0.94,0.03,0,,0.98,0.03,0,,HD 115617,HIP 64924,4.50,G5 V,,0,0,,,,,,,,,,,,,,,2009,3
24,61 Vir,c,Radial Velocity,3,38.02100000,0,0.03400000,-0.03400000,0.217500,0,0.000100,-0.000100,0.140000,0,0.060000,-0.060000,,,,,,,,,,,,,,,,,0,0,199.601318,-18.311195,8.52,0.05,-0.05,0,4.740,,0,0,5577.00,33.00,0,,0.94,0.03,0,,0.98,0.03,0,,HD 115617,HIP 64924,4.50,G5 V,,0,0,,,,,,,,,,,,,,,2009,3
25,61 Vir,d,Radial Velocity,3,123.01000000,0,0.55000000,-0.55000000,0.476000,0,0.001000,-0.001000,0.350000,0,0.090000,-0.090000,,,,,,,,,,,,,,,,,0,0,199.601318,-18.311195,8.52,0.05,-0.05,0,4.740,,0,0,5577.00,33.00,0,,0.94,0.03,0,,0.98,0.03,0,,HD 115617,HIP 64924,4.50,G5 V,,0,0,,,,,,,,,,,,,,,2009,3
26,70 Vir,b,Radial Velocity,1,116.68840000,0,0.00440000,-0.00440000,0.484000,0,0.028000,-0.028000,0.400700,0,0.003500,-0.003500,,,,,7.49000,0,0.61000,-0.61000,,,,,,,,,0,0,202.107544,13.778788,8.90,,,0,4.980,,0,0,5545.00,,0,,1.11,,0,,,,,,HD 117176,HIP 65721,4.00,G0,,0,0,,,,,,,,,2380.45000,193.87000,-193.87000,,,,1996,3
27,75 Cet,b,Radial Velocity,1,691.90000000,0,3.60000000,-3.60000000,2.100000,0,,,0.117000,0,0.048000,-0.048000,,,,,3.00000,0,,,,,,,,,,,0,0,38.039253,-1.034896,81.50,6.90,-8.30,0,5.350,,0,0,4846.00,18.00,0,,2.49,0.27,0,,10.50,1.00,0,,HD 15779,HIP 11791,5.10,K1 III,,0,0,1.730,,0,,,,,,953.50000,,,,,,2012,3
28,81 Cet,b,Radial Velocity,1,952.70000000,0,8.80000000,-8.80000000,2.500000,0,,,0.206000,0,0.029000,-0.029000,,,,,,,,,,,,,,,,,0,0,39.424168,-3.396175,97.20,9.20,-9.20,0,5.650,,0,0,4785.00,25.00,0,,2.40,0.40,0,,11.00,3.00,0,,HD 16400,HIP 12247,5.00,K0 III,,0,0,1.778,,0,,,,,,,,,,,,2008,3
29,91 Aqr,b,Radial Velocity,1,181.40000000,0,0.10000000,-0.10000000,0.700000,0,,,0.027000,0,0.026000,-0.026000,,,,,,,,,,,,,,,,,0,0,348.972900,-9.087737,45.90,0.60,-0.60,0,4.250,,0,0,4665.00,18.00,0,0,1.40,0.10,0,0,11.00,0.10,0,0,HD 219449,HIP 114855,5.00,K0 III,,0,0,,,,,,,,,,,,,,,2013,3
30,AB Pic,b,Imaging,1,,,,,260.000000,0,,,,,,,,,,,13.50000,0,0.50000,-0.50000,,,,,,,,,0,0,94.803802,-58.054310,45.52,1.64,-1.76,0,9.128,0.019,0,0,,,,,,,,,,,,,HD 44627,HIP 30034,5.20,K2 V,,0,0,,,,,,,,,4290.50000,158.90000,-158.90000,,,,2005,3
31,CT Cha,b,Imaging,1,,,,,440.000000,0,,,,,,,,,,,17.00000,0,6.00000,-6.00000,2.200,0,0.810,-0.600,,,,,0,0,166.037872,-76.455383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600,0,250,-250,5403.00000,1907.00000,-1907.00000,24.660,9.080,-6.730,2007,3
32,DH Tau,b,Imaging,1,,,,,330.000000,0,,,,,,,,,,,11.00000,0,10.00000,-3.00000,,,,,,,,,0,0,67.423157,26.549520,140.00,15.00,-15.00,0,,,,,,,,,0.33,,0,0,0.27,0.07,0,0,,,6.05,M0.5,,0,0,,,,,,,,,3496.00000,3178.00000,-953.00000,,,,2004,3
33,DP Leo,b,Eclipse Timing Variations,1,10220.00000000,0,730.00000000,-730.00000000,8.190000,0,0.390000,-0.390000,0.390000,0,0.130000,-0.130000,,,,,,,,,,,,,,,,,0,0,169.316667,17.961417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,3
34,FU Tau,b,Imaging,1,,,,,800.000000,0,,,,,,,,,,,15.71100,0,,,,,,,,,,,0,0,65.898911,25.049898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2375,0,,,4993.10700,,,,,,2008,3
35,GQ Lup,b,Imaging,1,,,,,,,,,,,,,,,,,21.50000,0,20.50000,-20.50000,1.800,0,,,,,,,0,0,237.300430,-35.651421,,,,,12.430,,0,0,,,,,,,,,,,,,,,5.70,K7e V(Li),,0,0,,,,,,,,,6830.00000,6520.00000,-6520.00000,20.000,,,2004,3
36,HN Peg,b,Imaging,1,,,,,773.000000,0,13.000000,-13.000000,,,,,,,,,21.99870,0,9.42803,-9.42803,1.051,0,0.136,-0.058,,,,,0,0,326.130554,14.771939,18.39,0.28,-0.29,0,5.950,0.010,0,0,,,,,,,,,,,,,HD 206860,HIP 107350,4.00,G0 IV-V,,0,0,,,,,,,,,6991.57000,2996.39000,-2996.39000,11.777,1.527,-0.654,2006,3
37,HW Vir,b,Eclipse Timing Variations,2,5767.00000000,0,,,,,,,,,,,,,,,19.20000,0,,,,,,,,,,,0,0,191.084320,-8.671344,130.72,,,-1,,,,,,,,,,,,,,,,,,HIP 62157,,,,,,,,,,,,,,6102.07893,,,,,,2008,3
38,HW Vir,c,Eclipse Timing Variations,2,3321.00000000,0,,,,,,,,,,,,,,,8.50000,0,,,,,,,,,,,0,0,191.084320,-8.671344,130.72,,,-1,,,,,,,,,,,,,,,,,,HIP 62157,,,,,,,,,,,,,,2701.44119,,,,,,2008,3
39,NN Ser,c,Eclipse Timing Variations,2,5660.00000000,0,165.00000000,-165.00000000,5.380000,0,0.200000,-0.200000,,,,,,,,,6.91000,0,0.54000,-0.54000,,,,,,,,,0,0,238.233871,12.912411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2196.11000,171.62100,-171.62100,,,,2010,3
40,NN Ser,d,Eclipse Timing Variations,2,2830.00000000,0,130.00000000,-130.00000000,3.390000,0,0.100000,-0.100000,,,,,,,,,2.28000,0,0.38000,-0.38000,,,,,,,,,0,0,238.233871,12.912411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724.62200,120.77000,-120.77000,,,,2010,3
41,NY Vir,b,Eclipse Timing Variations,1,2900.00000000,,,,3.300000,,,,,,,,,,,,2.30000,0,0.30000,-0.30000,,,,,,,,,0,0,204.700623,-2.030315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730.97800,95.34500,-95.34500,,,,2011,3
42,alpha Ari,b,Radial Velocity,1,380.80000000,0,0.30000000,-0.30000000,1.200000,0,,,0.250000,0,0.030000,-0.030000,,,,,,,,,,,,,,,,,0,0,31.793364,23.462423,20.20,,,0,2.000,,0,0,4553.00,15.00,0,,1.50,0.20,0,,13.90,0.30,0,,HD 12929,HIP 9884,5.10,K1 IIIb,,0,0,,,,,,,,,,,,,,,2010,3
43,alpha Cen B,b,Radial Velocity,1,3.23570000,0,0.00080000,-0.00080000,0.040000,0,,,0.000000,0,,,,,,,,,,,,,,,,,,,0,0,219.896164,-60.837154,1.30,,,0,1.340,,0,0,5214.00,33.00,0,1,0.93,0.01,-1,1,0.86,,0,1,HD 128621,HIP 71681,5.10,K1 V,,0,1,,,,,,,,,,,,,,,2012,3
44,beta Pic,b,Imaging,1,6000.00000000,0,,,8.000000,0,,,,,,,,,,,8.00000,0,4.00000,-2.00000,,,,,,,,,0,0,86.821198,-51.066513,19.28,0.19,-0.19,0,3.850,,0,0,,,,,,,,,,,,,HD 39060,HIP 27321,2.50,A5 V,,0,0,,,,,,,,,2542.53300,1589.08300,-635.63300,,,,2008,3
45,epsilon Eri,b,Radial Velocity,1,2502.00000000,0,10.00000000,-10.00000000,3.390000,0,0.360000,-0.360000,0.702000,0,0.039000,-0.039000,30.100,0,3.800,-3.800,,,,,,,,,,,,,0,0,53.232685,-9.458262,3.22,,,0,3.730,,0,1,,,,,0.83,0.05,0,,,,,,HD 22049,HIP 16537,5.20,K2 V,,0,1,,,,,,,,,,,,,,,2000,3
46,epsilon CrB,b,Radial Velocity,1,417.90000000,0,0.50000000,-0.50000000,1.300000,0,,,0.110000,0,0.030000,-0.030000,,,,,6.70000,0,0.30000,-0.30000,,,,,,,,,0,0,239.396881,26.877880,67.90,,,0,4.150,,0,1,4406.00,15.00,0,0,1.70,0.10,0,0,21.00,,0,0,HD 143107,HIP 78159,5.20,K2 III,,0,0,,,,,,,,,2129.37100,95.34500,-95.34500,,,,2012,3
47,epsilon Tau,b,Radial Velocity,1,594.90000000,0,5.30000000,-5.30000000,1.930000,0,0.030000,-0.030000,0.151000,0,0.023000,-0.023000,,,,,,,,,,,,,,,,,0,0,67.154167,19.180431,47.50,,,0,3.540,,0,0,4901.00,20.00,0,,2.70,0.10,0,,13.70,0.60,0,,HD 28305,HIP 20889,5.00,K0 III,,0,0,1.987,0.037,0,,,,,,,,,,,,2006,3
48,gamma 1 Leo,b,Radial Velocity,1,428.50000000,0,1.25000000,-1.25000000,1.190000,0,0.020000,-0.020000,0.144000,0,0.046000,-0.046000,,,,,,,,,,,,,,,,,0,0,154.993149,19.841488,38.50,,,0,1.980,,0,1,4330.00,15.00,0,,1.23,0.21,0,,31.88,1.61,0,,HD 89484,HIP 50583A,5.10,K1 IIIb Fe-0.5,,0,0,,,,,,,,,,,,,,,2009,3
49,gamma Cep,b,Radial Velocity,1,903.30000000,0,1.50000000,-1.50000000,2.050000,0,0.060000,-0.060000,0.049000,0,0.034000,-0.034000,,,,,,,,,,,,,,,,,0,0,354.836884,77.632278,13.80,,,0,3.210,,0,0,4888.00,,0,,1.40,0.12,0,,4.90,,0,,HD 222404,HIP 116727,5.10,K1 III,,0,0,,,,,,,,,,,,,,,2003,3
50,kappa CrB,b,Radial Velocity,1,1251.00000000,0,15.00000000,-15.00000000,2.600000,0,,,0.073000,0,0.049000,-0.049000,,,,,1.60000,0,,,,,,,,,,,0,0,237.808044,35.657383,31.10,0.60,-0.60,0,4.820,,0,0,4877.00,25.00,0,,1.51,0.19,0,,5.00,0.20,0,,HD 142091,HIP 77655,5.00,K0 III-IV,,0,0,1.111,,0,,,,,,508.50700,,,,,,2007,3
51,kappa And,b,Imaging,1,,,,,55.000000,0,2.000000,-2.000000,,,,,,,,,13.61600,0,23.04200,-1.04700,,,,,,,,,0,0,355.102112,44.333931,52.00,,,0,4.140,,0,0,10900.00,300.00,0,0,2.60,0.20,0,0,,,,,HD 222439,HIP 116805,1.90,B9 IV,,0,0,1.830,0.040,0,0,1900,0,100,-200,4327.36000,7323.22400,-332.87400,,,,2012,3
52,ksi Aql,b,Radial Velocity,1,136.75000000,0,0.25000000,-0.25000000,0.680000,0,,,0.000000,0,,,,,,,,,,,,,,,,,,,0,0,298.562012,8.461452,62.66,3.73,-4.23,0,4.680,,0,1,,,,,,,,,,,,,HD 188310,HIP 97938,5.00,K0,,0,1,,,,,,,,,,,,,,,2007,3
53,nu Oph,b,Radial Velocity,2,530.32000000,0,0.35000000,-0.35000000,1.900000,0,,,0.125600,0,0.006500,-0.006500,,,,,24.00000,0,,,,,,,,,,,0,0,269.756622,-9.773632,46.80,1.70,-1.80,0,3.340,,0,0,4928.00,25.00,0,,3.04,0.06,0,,15.10,1.10,0,,HD 163917,HIP 88048,5.10,K1 III,,0,0,2.090,,0,,,,,,7627.60000,,,,,,2012,3
54,nu Oph,c,Radial Velocity,2,3186.00000000,0,14.00000000,-14.00000000,6.100000,0,,,0.165000,0,0.013000,-0.013000,,,,,27.00000,0,,,,,,,,,,,0,0,269.756622,-9.773632,46.80,1.70,-1.80,0,3.340,,0,0,4928.00,25.00,0,,3.04,0.06,0,,15.10,1.10,0,,HD 163917,HIP 88048,5.10,K1 III,,0,0,2.090,,0,,,,,,8581.05000,,,,,,2012,3
55,omega Ser,b,Radial Velocity,1,277.02000000,0,0.52000000,-0.51000000,1.100000,0,,,0.106000,0,0.079000,-0.069000,,,,,,,,,,,,,,,,,0,0,237.573105,2.196509,,,,,5.230,,0,0,4770.00,10.00,0,0,2.17,0.21,0,0,12.30,0.88,0,0,HD 141680,HIP 77578,4.80,G8 III,,0,0,1.850,,0,0,,,,,,,,,,,2013,3
56,omicron CrB,b,Radial Velocity,1,187.83000000,0,0.54000000,-0.54000000,0.830000,0,,,0.191000,0,0.085000,-0.085000,,,,,1.50000,0,,,,,,,,,,,0,0,230.035660,29.616209,84.00,4.90,-5.60,0,5.510,,0,0,4749.00,20.00,0,,2.13,0.23,0,,10.50,0.70,0,,HD 136512,HIP 75049,5.00,K0,,0,0,1.709,,0,,,,,,476.72500,,,,,,2012,3
57,omicron UMa,b,Radial Velocity,1,1630.00000000,0,35.00000000,-35.00000000,3.900000,0,,,0.130000,0,0.065000,-0.065000,,,,,4.10000,0,,,,,,,,,,,0,0,127.566124,60.718170,56.30,2.00,-2.10,0,3.360,,0,0,5242.00,10.00,0,,3.09,0.07,0,,14.10,1.00,0,,HD 71369,HIP 41704,4.50,G5 III,,0,0,2.140,,0,,,,,,1303.05000,,,,,,2012,3
58,rho CrB,b,Radial Velocity,1,39.84500000,0,,,0.220000,0,,,0.040000,0,0.150000,-0.150000,,,,,,,,,,,,,,,,,0,0,240.261093,33.303509,17.43,0.21,-0.22,0,5.400,,0,0,,,,,,,,,,,,,HD 143761,HIP 78459,4.00,G0 V,,0,0,,,,,,,,,,,,,,,1997,3
59,tau Boo,b,Radial Velocity,1,3.31350000,0,0.00140000,-0.00140000,0.046000,0,,,0.018000,0,0.016000,-0.016000,,,,,,,,,,,,,,,,,0,0,206.815598,17.456905,15.60,0.17,-0.17,0,4.500,,0,1,,,,,,,,,,,,,HD 120136,HIP 67275,3.50,F5,,0,1,,,,,,,,,,,,,,,1996,3
60,tau Gem,b,Radial Velocity,1,305.50000000,0,0.10000000,-0.10000000,1.170000,0,,,0.031000,0,0.009000,-0.009000,,,,,,,,,,,,,,,,,0,0,107.784882,30.245163,98.40,2.50,-2.40,0,4.420,,0,1,4388.00,25.00,0,0,2.30,0.30,0,0,26.80,0.70,0,0,HD 54719,HIP 34693,5.20,K2 III,,0,0,,,,,,,,,,,,,,,2013,3
61,upsilon And,b,Radial Velocity,4,4.61703300,0,0.00002300,-0.00002300,0.059222,0,0.000000,0.000000,0.021500,0,0.000700,-0.000700,,,,,,,,,,,,,,,,,0,0,24.199345,41.405460,13.47,0.13,-0.13,0,4.100,,0,0,,,,,,,,,,,,,HD 9826,HIP 7513,4.00,G0,,0,0,,,,,,,,,,,,,,,1996,3
62,upsilon And,c,Radial Velocity,4,241.25800000,0,0.06400000,-0.06400000,0.827774,0,0.000015,-0.000015,0.259600,0,0.007900,-0.007900,,,,,,,,,,,,,,,,,0,0,24.199345,41.405460,13.47,0.13,-0.13,0,4.100,,0,0,,,,,,,,,,,,,HD 9826,HIP 7513,4.00,G0,,0,0,,,,,,,,,,,,,,,1999,3
63,upsilon And,d,Radial Velocity,4,1276.46000000,0,0.57000000,-0.57000000,2.513290,0,0.000750,-0.000750,0.298700,0,0.007200,-0.007200,,,,,,,,,,,,,,,,,0,0,24.199345,41.405460,13.47,0.13,-0.13,0,4.100,,0,0,,,,,,,,,,,,,HD 9826,HIP 7513,4.00,G0,,0,0,,,,,,,,,,,,,,,1999,3
64,upsilon And,e,Radial Velocity,4,3848.86000000,0,0.74000000,-0.74000000,5.245580,0,0.000670,-0.000670,0.005360,0,0.000440,-0.000440,,,,,,,,,,,,,,,,,0,0,24.199345,41.405460,13.47,0.13,-0.13,0,4.100,,0,0,,,,,,,,,,,,,HD 9826,HIP 7513,4.00,G0,,0,0,,,,,,,,,,,,,,,2010,3
65,Fomalhaut,b,Imaging,1,318280.00000000,0,,,115.000000,0,,,0.130000,-1,,,,,,,2.60000,0,0.90000,-0.90000,1.200,0,,,,,,,0,0,344.412689,-29.622236,7.69,0.05,-0.05,0,1.160,,0,0,,,,,,,,,,,,,HD 216956,HIP 113368,2.30,A3 Va,,0,0,,,,,,,,,826.30000,286.00000,-286.00000,13.500,,,2008,3
66,1RXS J160929.1-210524,b,Imaging,1,,,,,330.000000,0,,,,,,,,,,,8.00000,0,4.00000,-2.00000,1.664,0,,,,,,,0,0,242.376266,-21.083036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,0,200,-100,2543.00000,1271.00000,-636.00000,18.647,,,2008,3
67,2MASS J01225093-2439505,b,Imaging,1,,,,,52.000000,0,6.000000,-6.000000,,,,,,,,,24.50000,0,2.50000,-2.50000,,,,,,,,,0,0,20.712242,-24.664049,36.00,4.00,-4.00,0,,,,,3530.00,50.00,0,0,0.40,0.05,0,0,,,,,,,6.35,M3.5 V,,0,0,-1.720,0.110,0,0,,,,,7786.50000,794.50000,-794.50000,,,,2013,3
